record_id,redcap_event_name,stw_age,stw_n_correct_trials,phase_cog_online_paper
621128,phase_4_arm_1,81,59,2
621140,phase_4_arm_2,76,54,2
621178,phase_4_arm_1,76,57,2
621184,phase_4_arm_1,74,53,1
621199,phase_4_arm_1,78,53,2
621282,phase_4_arm_1,76,55,2
621287,phase_4_arm_2,83,57,2
621445,phase_4_arm_1,76,59,1
621747,phase_4_arm_1,80,57,2
710079,phase_4_arm_1,90,59,2
710120,phase_4_arm_1,86,55,2
710131,phase_4_arm_1,92,55,2
710160,phase_4_arm_1,86,53,2
710252,phase_4_arm_1,88,60,2
710299,phase_4_arm_1,94,53,2
710301,phase_4_arm_1,88,58,2
710313,phase_4_arm_1,88,57,2
710331,phase_4_arm_1,94,57,1
710345,phase_4_arm_2,87,53,1
710440,phase_4_arm_1,87,55,2
710486,phase_4_arm_1,86,55,2
710537,phase_4_arm_1,86,58,2
710581,phase_4_arm_1,90,58,2
710591,phase_4_arm_1,91,44,2
710599,phase_4_arm_1,88,57,2
710664,phase_4_arm_1,89,57,2
710719,phase_4_arm_1,89,40,2
710735,phase_4_arm_2,92,55,2
710884,phase_4_arm_1,90,0,2
711035,phase_4_arm_1,95,58,2
711062,phase_4_arm_1,89,60,1
711146,phase_4_arm_1,90,56,2
720031,phase_4_arm_1,86,60,2
720103,phase_4_arm_1,87,54,2
720114,phase_4_arm_1,89,59,2
720119,phase_4_arm_1,86,59,2
720152,phase_4_arm_1,86,59,2
720188,phase_4_arm_1,84,57,1
720238,phase_4_arm_1,86,59,2
720274,phase_4_arm_2,85,50,2
720288,phase_4_arm_1,85,58,1
720304,phase_4_arm_1,87,45,2
720384,phase_4_arm_2,94,52,2
720452,phase_4_arm_1,85,53,2
720474,phase_4_arm_1,95,44,
720521,phase_4_arm_1,87,56,2
720545,phase_4_arm_1,85,54,2
720547,phase_4_arm_1,87,57,2
720622,phase_4_arm_1,87,60,1
720641,phase_4_arm_1,89,53,2
720646,phase_4_arm_1,86,47,2
720685,phase_4_arm_1,87,55,2
720704,phase_4_arm_1,85,52,2
720718,phase_4_arm_2,85,51,2
720873,phase_4_arm_1,86,49,2
720901,phase_4_arm_1,92,53,2
720986,phase_4_arm_1,90,51,2
721021,phase_4_arm_1,90,47,2
721041,phase_4_arm_1,91,57,
721056,phase_4_arm_1,84,52,2
721078,phase_4_arm_1,85,58,2
721144,phase_4_arm_1,85,58,2
721184,phase_4_arm_2,92,56,2
721236,phase_4_arm_2,87,50,2
721292,phase_4_arm_1,84,59,2
721377,phase_4_arm_1,86,55,2
721392,phase_4_arm_1,86,45,2
721418,phase_4_arm_1,85,59,2
721519,phase_4_arm_1,85,59,2
721618,phase_4_arm_1,87,55,2
721635,phase_4_arm_1,85,58,2
721648,phase_4_arm_1,86,57,2
